,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.32780003547668457,2.1033339500427246,0.31129997968673706,2.095167875289917,0.0010000000474974513
1,0.37853336334228516,1.9381024837493896,0.27683353424072266,2.306874990463257,0.0010000000474974513
2,0.3899332582950592,1.8725615739822388,0.21853332221508026,3.379610061645508,0.0010000000474974513
3,0.39583340287208557,1.8413838148117065,0.2886332869529724,3.8463008403778076,0.0010000000474974513
4,0.39913347363471985,1.8175256252288818,0.2954666316509247,3.812995195388794,0.0010000000474974513
5,0.3995332419872284,1.7985080480575562,0.2770666182041168,3.6262991428375244,0.0010000000474974513
6,0.40249988436698914,1.7754361629486084,0.28933337330818176,3.359560251235962,0.0005000000237487257
7,0.4053000211715698,1.7608580589294434,0.30920007824897766,3.1201016902923584,0.0005000000237487257
8,0.40670016407966614,1.7519497871398926,0.310699999332428,3.1296792030334473,0.0005000000237487257
9,0.4065333902835846,1.7441999912261963,0.2878667116165161,2.960918664932251,0.0005000000237487257
10,0.40806666016578674,1.7350703477859497,0.2899667024612427,2.8519527912139893,0.0005000000237487257
11,0.41216641664505005,1.720561146736145,0.30199992656707764,2.9653239250183105,0.0002500000118743628
12,0.4108999967575073,1.7194794416427612,0.3048667013645172,3.016120195388794,0.0002500000118743628
13,0.41366663575172424,1.716274619102478,0.30436670780181885,2.811196804046631,0.0002500000118743628
14,0.4147666394710541,1.7096298933029175,0.29903343319892883,2.9434101581573486,0.0002500000118743628
15,0.4172000586986542,1.7101320028305054,0.285800039768219,2.9691009521484375,0.0002500000118743628
16,0.41493335366249084,1.701219081878662,0.2931666970252991,2.9547011852264404,0.0001250000059371814
17,0.41946664452552795,1.6992156505584717,0.29226669669151306,2.916132688522339,0.0001250000059371814
